Security Symbol,Security Name,Industry,Capital(Rs),Free Float Market(Rs. Crores),Weightage,Beta,R2,Volatility,MonthlyReturn,Avg. Impact Cost (%)
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,12904.5,0.45,0.84,0.31,0.93,2.44,0.03
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,26833.56,0.93,1.28,0.32,1.74,-0.92,0.04
AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3103794842,15968.04,0.56,1.17,0.43,0.8,0.56,0.03
ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,37612.94,1.31,1.04,0.29,1.5,-1.3,0.03
AXISBANK,Axis Bank Ltd.,BANKS,4755713420,80044.72,2.78,1.5,0.49,2.19,-4.09,0.03
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,34798.71,1.21,0.77,0.22,1.43,10.31,0.03
BANKBARODA,Bank of Baroda,BANKS,4422991812,15046.31,0.52,1.46,0.28,1.6,-12.55,0.03
BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,17978.99,0.63,1.17,0.26,2.18,-3.26,0.04
BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,22511.55,0.78,0.9,0.2,1.5,2.4,0.02
BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,48207.77,1.68,0.67,0.13,1.72,3.32,0.03
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,18512.97,0.64,1.17,0.29,1.74,5.52,0.04
CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748527520,8713.32,0.3,1.34,0.3,2.01,0.03,0.04
CIPLA,Cipla Ltd.,PHARMACEUTICALS,1606209612,35048.18,1.22,1.07,0.35,1.37,8.55,0.03
COALINDIA,Coal India Ltd.,MINING,63163644000,41119.72,1.43,0.75,0.17,1.62,-2.35,0.04
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,852942575,54410.03,1.89,0.73,0.19,1.46,2.82,0.02
GAIL,GAIL (India) Ltd.,GAS,12684774000,14339.63,0.5,1.05,0.28,1.9,2.03,0.04
GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,918666490,23620,0.82,0.84,0.38,0.79,5.52,0.04
HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2812423156,48322.66,1.68,0.65,0.1,3.18,-11.25,0.03
HDFCBANK,HDFC Bank Ltd.,BANKS,5036386434,217008.33,7.55,0.88,0.58,0.89,2.88,0.03
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,31489.59,1.1,0.72,0.23,1.24,7.81,0.02
HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064985760,10814.27,0.38,1.33,0.29,2.8,18.71,0.05
HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2163868647,56799.54,1.98,0.52,0.1,1.06,-1.73,0.02
HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3155377900,198291.84,6.9,1.35,0.49,1.6,3.64,0.03
ITC,I T C Ltd.,CIGARETTES,8026495071,187742.62,6.53,0.75,0.2,1.72,1.78,0.03
ICICIBANK,ICICI Bank Ltd.,BANKS,11615794130,160878.75,5.59,1.53,0.59,1.91,2.46,0.04
IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35996103860,15698.35,0.55,0.64,0.09,2.14,-6.35,0.04
INDUSINDBK,IndusInd Bank Ltd.,BANKS,5921664080,45114.55,1.57,1.1,0.45,0.9,-3.24,0.03
INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,11484723320,226694.12,7.88,0.68,0.17,1.52,-2.28,0.02
KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9148333795,70568.38,2.45,1.06,0.35,1.16,6.1,0.04
LT,Larsen & Toubro Ltd.,ENGINEERING,1860962378,115519.72,4.02,1.2,0.51,1.76,-3.79,0.03
LUPIN,Lupin Ltd.,PHARMACEUTICALS,900368172,46378.42,1.61,0.74,0.16,1.81,-5.17,0.03
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,58856.59,2.05,0.81,0.34,1.59,-5.05,0.02
NTPC,NTPC Ltd.,POWER,82454644000,27421.15,0.95,0.96,0.31,1.57,7.31,0.04
ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,44310.03,1.54,1.03,0.27,2.11,7.67,0.03
POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,28360.48,0.99,0.67,0.25,1.04,-2.72,0.06
PNB,Punjab National Bank,BANKS,3927194980,9555.78,0.33,1.31,0.31,1.22,-3.68,0.05
RELIANCE,Reliance Industries Ltd.,REFINERIES,32384274700,156375.86,5.44,1.12,0.44,1.6,9.9,0.03
SBIN,State Bank of India,BANKS,7566217652,73275.48,2.55,1.42,0.5,1.35,-0.04,0.03
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2406496137,96957.38,3.37,0.82,0.15,1.38,2.44,0.02
TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1958727979,127747.33,4.44,0.54,0.17,1.43,-3.59,0.02
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774407204,72968.98,2.54,1.38,0.39,2.68,28.92,0.03
TATAPOWER,Tata Power Co. Ltd.,POWER,2704629398,12471.68,0.43,1.17,0.33,1.17,6,0.05
TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154390,16440.86,0.57,1.5,0.4,2.23,15.99,0.03
TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4811689420,32853.28,1.14,0.52,0.08,1.04,-3.27,0.04
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2744107320,29549.68,1.03,1.08,0.35,1.5,7.96,0.04
VEDL,Vedanta Ltd.,MINING,2964694239,11001.34,0.38,1.63,0.27,4.13,18,0.04
WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4939788416,36811.47,1.28,0.67,0.22,0.8,-4.18,0.03
YESBANK,Yes Bank Ltd.,BANKS,4187696940,24768.5,0.86,1.53,0.49,1.67,3.97,0.03
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,22344.11,0.78,0.98,0.27,2.26,4.13,0.03
